,"RandomForestRegressor(criterion='mae', max_depth=29, max_features='sqrt',
                      min_samples_leaf=5, min_samples_split=5,
                      n_estimators=1000, random_state=6)",NuSVR(kernel='poly'),"GradientBoostingRegressor(learning_rate=0.3, min_samples_leaf=30,
                          min_samples_split=60, n_estimators=20,
                          random_state=0)","DecisionTreeRegressor(max_depth=3, min_samples_leaf=60, min_samples_split=5)","AdaBoostRegressor(base_estimator=DecisionTreeRegressor(max_depth=4),
                  learning_rate=0.3, loss='exponential', n_estimators=80,
                  random_state=0)"
112,488.9575584550378,489.7245028250244,489.4011850168188,489.71937187036673,489.86058495278945
113,496.6354146897835,497.89111656904817,497.15473102782397,498.0533875145395,497.1330381388158
114,495.3804284889415,494.56858105680317,494.80375909577566,495.1490258760933,494.3957318262464
115,496.1424609088519,497.5691279274776,495.1356835240464,498.0533875145395,495.47466888788915
116,489.7240920734059,489.34951815606723,489.29621445028533,489.71937187036673,489.4640553295693
117,495.0406151857476,493.1020903436625,494.5307406848258,493.01795119742974,493.70587202996217
118,490.6507880219235,490.6596155951653,490.5461941734404,489.71937187036673,490.05597841596807
119,491.28692265967993,490.4744678832208,490.8967282831451,490.8529065750889,490.9796206658866
120,490.88742237860413,490.00877347360165,490.6309832559486,489.71937187036673,489.9687149318097
121,490.633631767011,489.5528756962308,490.3225045023166,489.71937187036673,489.7551206418717
122,489.3268059034348,490.562705569545,490.3932348142708,489.71937187036673,490.05597841596807
123,491.88501948035656,493.8336187293254,492.8076023174538,493.01795119742974,492.97966935647594
124,490.1292485892541,490.0454730045064,490.13153050407294,489.71937187036673,489.6553447505154
125,493.8832224298012,493.25599094744905,493.5967986364489,493.01795119742974,493.5500440648805
126,490.5617578761628,489.73650248188807,490.96403233900725,489.71937187036673,489.77821250830334
127,500.77881063711715,500.97923983460794,500.7442157591974,498.0533875145395,499.8632985751778
128,488.8692365735568,489.6694851877755,489.61456558676116,489.71937187036673,489.6553447505154
129,491.25958548849763,492.44203321008195,491.05432118233483,490.8529065750889,492.97966935647594
130,491.4702658047827,490.23327240330497,491.0303896608759,489.71937187036673,490.3739419376965
131,494.6134781381299,494.8115361299406,494.7228193234148,495.1490258760933,494.29233647743604
132,490.6277521357891,489.4474669531996,489.29621445028533,489.71937187036673,489.6001475345136
133,492.9670082705325,494.5172846448122,493.1267852084808,494.12803774385674,494.38964648826817
134,489.46510583880786,489.8196249316456,489.63174501819185,489.71937187036673,489.98633651961114
135,490.5319679839533,490.5743336465964,490.52336647447095,489.71937187036673,490.05597841596807
136,489.393688886849,490.2706163859323,490.46233655068795,490.8529065750889,490.11378796252427
137,489.382339975512,489.34929982090534,488.96790198054333,489.71937187036673,489.5760056698518
138,494.1325240423089,493.14728139716533,493.164443183123,493.01795119742974,494.21807986967417
139,489.85325072799503,489.4258044781034,489.29621445028533,489.71937187036673,489.5888471973705
140,500.835877037165,500.4011288566192,500.59785996197655,498.0533875145395,500.88472695691206
141,490.89462956036743,490.4958721966832,490.5011206230111,489.71937187036673,489.9019321876779
142,497.19085151084124,497.8631449734241,498.36974787626275,498.0533875145395,498.7484466649392
143,489.96781925201464,490.1800862785066,489.9763218214627,489.71937187036673,489.89742803836657
144,489.7524532076529,489.9510062989798,489.92839251328616,489.71937187036673,490.1257514639031
145,490.98768084762145,489.7028452830268,489.6675424158223,489.71937187036673,489.6553447505154
146,494.1373230862612,493.1424286711513,492.90049973580386,493.01795119742974,492.4096116856341
147,490.47188363499185,490.21350541311136,490.10762949666696,489.71937187036673,489.73201852891054
148,489.9153954505992,490.80173498042603,489.93864523562866,490.8529065750889,490.90148568701994
